Abigaíl
Abril
Adela
Adelaida
Adelia
Adelina
Adora
Adoración
Adriana
Agustina
Ainara
Ainoa
Aitana
Alba
Albina
Ale
Alejandra
Alexandra
Alicia
Alma
Almudena
Alondra
Amada
Amalia
Amanda
Amarilis
Amaya
Amelia
Amor
Amparo
América
Ana
Ana Belén
Ana Sofía
Anabel
Anastasia
Andrea
Angelina
Angelita
Angélica
Ani
Anita
Anna
Anselma
Antonia
Anunciación
Apolonia
Araceli
Arcelia
Ariadna
Ariel
Armida
Aroa
Aránzazu
Ascensión
Asunción
Aura
Aurelia
Aurora
Azahar
Azahara
Azeneth
Azucena
Beatriz
Begoña
Belen
Belén
Benigna
Benita
Bernarda
Bernardita
Berta
Bibiana
Bienvenida
Blanca
Brunilda
Brígida
Bárbara
Calista
Calixta
Camila
Candela
Candelaria
Candelas
Caridad
Carina
Carla
Carlota
Carmela
Carmelita
Carmen
Carmina
Carolina
Casandra
Catalina
Cayetana
Cecilia
Celestina
Celia
Charo
Chelo
Chita
Chus
Cintia
Clara
Clarisa
Claudia
Clementina
Cloe
Clotilde
Concepción
Concha
Constanza
Consuela
Consuelo
Coral
Corona
Crescencia
Cristina
Cruz
Custodia
Cándida
Dafne
Dalila
Daniela
Delfina
Delia
Diana
Dionisia
Dolores
Dominga
Domitila
Dora
Dorita
Dorotea
Dulce
Débora
Edelmira
Elba
Elena
Eli
Eliana
Eligia
Elisa
Elisabet
Elodia
Eloísa
Elvira
Ema
Emelina
Emilia
Emiliana
Emma
Emperatriz
Encarna
Encarnacion
Encarnación
Encarnita
Esmeralda
Esperanza
Estefanía
Estela
Ester
Esther
Estrella
Etelvina
Eugenia
Eulalia
Eusebia
Eva
Eva María
Evangelina
Evelia
Evita
Fabiana
Fabiola
Fanny
Febe
Felicia
Feliciana
Felicidad
Felipa
Felisa
Fernanda
Fidela
Filomena
Flavia
Flor
Flora
Florencia
Florina
Florinda
Fortunata
Francisca
Fátima
Gabriela
Gala
Gema
Genoveva
Georgina
Gertrudis
Gisela
Gloria
Gracia
Graciana
Graciela
Griselda
Guadalupe
Guiomar
Haydée
Herminia
Hilda
Hortensia
Ignacia
Ileana
Imelda
Inmaculada
Inés
Irene
Iris
Irma
Isa
Isabel
Isabela
Isaura
Isidora
Itziar
Jacinta
Javiera
Jennifer
Jenny
Jessica
Jesusa
Jimena
Joaquina
Jordana
Josefa
Josefina
José
Jovita
Juana
Juanita
Judith
Julia
Juliana
Julie
Julieta
Lara
Laura
Leandra
Leire
Leocadia
Leonor
Leticia
Leyre
Lidia
Ligia
Lilia
Liliana
Lina
Loida
Lola
Lorena
Lorenza
Loreto
Lourdes
Luciana
Lucila
Lucía
Luisa
Luisina
Luna
Lupe
Lupita
Luz
Macarena
Macaria
Magdalena
Maite
Malena
Mamen
Manola
Manu
Manuela
Manuelita
Mar
Marcela
Marcia
Margarita
Mariana
Marianela
Maribel
Maricela
Maricruz
Marina
Marisa
Marisela
Marisol
Maristela
Marita
Marta
Martina
Martirio
María
María Belén
María Carmen
María Cristina
María Del Carmen
María Dolores
María Fernanda
María Jesús
María José
María Luisa
María Manuela
María Pilar
María Teresa
María Ángeles
Matilde
Maura
Maxi
Mayte
Melania
Melisa
Mercedes
Merche
Micaela
Miguela
Milagros
Mireia
Miriam
Mirta
Modesta
Montserrat
Morena
Máxima
Mónica
Nadia
Narcisa
Natalia
Natividad
Nayara
Nazaret
Nerea
Nereida
Nicolasa
Nidia
Nieves
Nilda
Noa
Noelia
Noemí
Nuria
Nélida
Obdulia
Octavia
Odalis
Odalys
Ofelia
Olga
Olimpia
Olivia
Oriana
Otilia
Paca
Pacífica
Palmira
Paloma
Paola
Pascuala
Pastora
Patricia
Paula
Paulina
Paz
Pepita
Perla
Perlita
Petrona
Piedad
Pilar
Pili
Primitiva
Priscila
Prudencia
Purificación
Pía
Rafaela
Ramona
Raquel
Rebeca
Regina
Reina
Remedios
Renata
Reyes
Reyna
Ricarda
Rita
Rocío
Rosa
Rosa María
Rosalinda
Rosalva
Rosalía
Rosario
Rosaura
Rosenda
Roxana
Rufina
Ruperta
Ruth
Sabina
Salomé
Salud
Samanta
Sandra
Sara
Sarita
Saturnina
Selena
Serafina
Silvia
Socorro
Sofía
Sol
Soledad
Sonia
Soraya
Susana
Susanita
Tamara
Tania
Tatiana
Tecla
Teodora
Tere
Teresa
Teresita
Teófila
Tomasa
Trini
Trinidad
Valentina
Valeria
Vanesa
Vera
Verónica
Vicenta
Victoria
Vilma
Violeta
Virginia
Visitación
Viviana
Ximena
Xiomara
Yaiza
Yolanda
Yésica
Yéssica
Zaida
Zaira
Zoraida
África
Ágata
Águeda
Ámbar
Ángela
Ángeles
Áurea
Íngrid
Úrsula
