Aarón
Abel
Abilio
Abraham
Adalberto
Adelardo
Adolfo
Adrián
Adán
Agapito
Agustín
Aitor
Albano
Albert
Alberto
Albino
Ale
Alejandro
Alejo
Alex
Alfonso
Alfredo
Alonso
Amado
Amador
Amancio
Amando
Amaro
Ambrosio
Amor
Américo
Amílcar
Anacleto
Anastasio
Andrés
Andrés Felipe
Angelino
Anselmo
Antonio
Aníbal
Apolinar
Ariel
Aristides
Armando
Arsenio
Artemio
Arturo
Asdrubal
Atilio
Augusto
Aureliano
Aurelio
Baldomero
Balduino
Baltasar
Bartolomé
Basilio
Baudelio
Bautista
Benigno
Benito
Benjamín
Bernabé
Bernardino
Bernardo
Berto
Blas
Bonifacio
Borja
Bruno
Buenaventura
Calisto
Calixto
Camilo
Candelario
Carlito
Carlos
Carmelo
Casemiro
Cayetano
Cebrián
Cecilio
Ceferino
Celestino
Celso
Cesar
Che
Chema
Chucho
Chus
Chuy
Cipriano
Ciriaco
Cirino
Ciro
Ciríaco
Claudio
Clemente
Cleto
Clímaco
Conrado
Cornelio
Cosme
Cristian
Cristóbal
Cruz
Curro
Custodio
Cándido
César
Damián
Dan
Dani
Daniel
Darío
David
Demetrio
Desiderio
Diego
Dimas
Dionisio
Domingo
Donato
Duilio
Edelmiro
Edgardo
Edmundo
Edu
Eduardo
Efraín
Eleuterio
Eligio
Eliseo
Eloy
Elpidio
Elías
Emigdio
Emiliano
Emilio
Enrique
Epifanio
Erasmo
Eric
Ernesto
Espiridión
Esteban
Eugenio
Eusebio
Eustaquio
Eutimio
Eutropio
Evaristo
Ezequiel
Fabio
Fabián
Fabricio
Faustino
Fausto
Federico
Feliciano
Felipe
Felix
Fermín
Fernando
Fidel
Fito
Flavio
Florencio
Florentino
Fortunato
Francisco
Francisco Javier
Francisco Jose
Fulgencio
Félix
Gabino
Gabriel
Galo
Gaspar
Gastón
Geraldo
Gerardo
Germán
Gervasio
Gerónimo
Gil
Gilberto
Glauco
Godofredo
Gonzalo
Goyo
Graciano
Gregorio
Guadalupe
Guillermo
Guiomar
Gustavo
Haroldo
Hector
Heliodoro
Heraclio
Herberto
Heriberto
Hermenegildo
Herminio
Hernando
Hernán
Hilario
Hipólito
Horacio
Hugo
Humberto
Héctor
Ibán
Ignacio
Iker
Ildefonso
Inocencio
Isaac
Isaías
Isidoro
Isidro
Ismael
Iván
Jacinto
Jacobo
Jaime
Javi
Javier
Jenaro
Jerónimo
Jesús
Joan
Joaquín
Joel
Jonatan
Jordi
Jordán
Jorge
Jose
Jose Angel
Jose Antonio
Jose Carlos
Jose Francisco
Jose Ignacio
Jose Luis
Jose Manuel
Jose Miguel
Jose Ramón
Josep
Josué
José
José Antonio
José Luis
José Manuel
José Mari
José María
José Ángel
Juan
Juan Antonio
Juan Carlos
Juan Francisco
Juan José
Juan Luis
Juan Manuel
Juan Pablo
Juanito
Julio
Julio César
Julián
Kike
Lalo
Leandro
Leocadio
Leonardo
Leoncio
Leonel
Leopoldo
León
Lino
Lisandro
Lope
Lorenzo
Loreto
Lucas
Lucho
Luciano
Lucio
Luis
Luis Miguel
Luis Ángel
Lupe
Luís
Lázaro
Macario
Manolo
Manu
Manuel
Marc
Marcelo
Marcial
Marciano
Marcio
Marco
Marcos
Mariano
Marino
Mario
Martin
Martín
María
Mateo
Matías
Mauricio
Maxi
Maximiano
Maximiliano
Maximino
Melchor
Miguel
Miguel Ángel
Modesto
Mohamed
Moisés
Moreno
Máximo
Nacho
Nando
Narciso
Natalio
Natanael
Nazaret
Nazario
Nicanor
Nico
Nicodemo
Nicolás
Nilo
Norberto
Noé
Néstor
Octavio
Olegario
Omar
Onofre
Osvaldo
Ovidio
Pablo
Paco
Pancho
Pascual
Pastor
Patricio
Paulino
Pedro
Pelayo
Pepe
Pepito
Plinio
Plácido
Poncio
Porfirio
Primitivo
Prudencio
Pánfilo
Pío
Quique
Quirino
Rafa
Rafael
Raimundo
Ramiro
Ramón
Raúl
Reinaldo
Remigio
Renato
René
Reyes
Reynaldo
Ricardo
Rico
Roberto
Rodolfo
Rodrigo
Rogelio
Rolando
Roldán
Román
Roque
Rosario
Rosendo
Ruben
Rubén
Rufino
Ruperto
Ruy
Régulo
Rómulo
Sabas
Salomón
Salvador
Samu
Samuel
Sancho
Sandalio
Santiago
Santos
Saturnino
Sebastian
Sebastián
Segismundo
Sergio
Seve
Severiano
Severino
Severo
Sigfrido
Silvestre
Silvio
Simón
Sosimo
Tadeo
Telmo
Teo
Teobaldo
Teodoro
Teodosio
Teófilo
Tiburcio
Timoteo
Tito
Tomás
Toni
Toribio
Toño
Trinidad
Tristán
Ulises
Urbano
Valentín
Valerio
Valero
Vasco
Venceslás
Vicente
Victor
Victor Manuel
Victoriano
Victorino
Vidal
Vinicio
Virgilio
Vito
Víctor
Wilfredo
Wálter
Xavier
Yago
Zacarías
Álvaro
Ángel
Édgar
Íñigo
Óscar
